Account.Balance,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Length.of.current.employment,Instalment.per.cent,Score_Creditworthy,Score_Non-Creditworthy
Some Balance,Paid Up,Home Related,1525,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,781,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,3863,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,2923,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,2319,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,2320,< 1yr,2,1,0
Some Balance,Paid Up,Used car,3422,4-7 yrs,4,1,0
Some Balance,Paid Up,Used car,1574,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,976,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,935,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,1950,1-4 yrs,4,1,0
Some Balance,Paid Up,Home Related,1963,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1255,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1264,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,3621,4-7 yrs,2,1,0
Some Balance,Paid Up,Home Related,5324,4-7 yrs,1,1,0
Some Balance,Paid Up,Home Related,1820,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,1881,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,1271,< 1yr,3,1,0
Some Balance,No Problems (in this bank),Home Related,1495,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,3577,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,2284,1-4 yrs,4,1,0
Some Balance,Paid Up,Home Related,3835,4-7 yrs,2,1,0
Some Balance,No Problems (in this bank),Used car,5150,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,6742,1-4 yrs,2,1,0
Some Balance,Paid Up,Home Related,433,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,5742,1-4 yrs,2,1,0
No Account,No Problems (in this bank),New car,1804,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,727,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1530,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,518,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,2397,4-7 yrs,3,1,0
Some Balance,Paid Up,Home Related,804,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,2662,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,2032,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,2675,4-7 yrs,3,1,0
Some Balance,Paid Up,Home Related,2753,4-7 yrs,3,1,0
Some Balance,No Problems (in this bank),Used car,3777,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,3565,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Used car,7127,< 1yr,2,1,0
No Account,Paid Up,Used car,428,4-7 yrs,2,1,0
Some Balance,Some Problems,Used car,2759,4-7 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,2223,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,1213,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),New car,11590,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,1287,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,1101,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,1393,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,2424,4-7 yrs,4,1,0
No Account,Paid Up,New car,3386,4-7 yrs,3,1,0
Some Balance,No Problems (in this bank),Home Related,2538,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,1297,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,1572,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,2611,4-7 yrs,4,1,0
No Account,No Problems (in this bank),New car,2957,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,1418,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,3077,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,802,< 1yr,4,1,0
No Account,No Problems (in this bank),Used car,3617,4-7 yrs,1,1,0
Some Balance,Paid Up,Used car,3349,< 1yr,4,1,0
No Account,No Problems (in this bank),Used car,3643,4-7 yrs,1,1,0
Some Balance,No Problems (in this bank),Home Related,4530,1-4 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,1957,1-4 yrs,1,1,0
Some Balance,Paid Up,Home Related,1568,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,1597,< 1yr,3,1,0
Some Balance,No Problems (in this bank),Used car,4526,< 1yr,4,1,0
No Account,Paid Up,Used car,2762,4-7 yrs,1,1,0
No Account,Paid Up,New car,5493,4-7 yrs,2,1,0
No Account,Paid Up,Used car,3001,1-4 yrs,2,1,0
Some Balance,Paid Up,Home Related,1979,4-7 yrs,4,1,0
No Account,Paid Up,Used car,1262,4-7 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,1163,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,1169,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,3518,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,2133,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1291,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,1412,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,392,< 1yr,4,1,0
No Account,No Problems (in this bank),New car,7057,1-4 yrs,3,1,0
Some Balance,No Problems (in this bank),Home Related,3342,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1478,< 1yr,4,1,0
No Account,No Problems (in this bank),Used car,4272,4-7 yrs,1,1,0
Some Balance,No Problems (in this bank),Home Related,3148,< 1yr,3,1,0
Some Balance,No Problems (in this bank),Home Related,1532,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,2390,4-7 yrs,4,1,0
No Account,Paid Up,New car,2760,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,860,4-7 yrs,1,1,0
Some Balance,Paid Up,Home Related,3919,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,640,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,707,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,776,< 1yr,4,1,0
No Account,Paid Up,New car,2964,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,874,< 1yr,4,1,0
No Account,Paid Up,New car,2924,< 1yr,3,1,0
Some Balance,No Problems (in this bank),Home Related,2058,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,783,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,5771,1-4 yrs,4,1,0
Some Balance,Paid Up,Home Related,1126,< 1yr,4,1,0
No Account,Paid Up,New car,6468,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,1238,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,7228,< 1yr,1,1,0
No Account,No Problems (in this bank),New car,7758,4-7 yrs,2,1,0
No Account,Paid Up,Home Related,685,1-4 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,2375,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,3016,< 1yr,3,1,0
No Account,Paid Up,Used car,2359,< 1yr,1,1,0
No Account,No Problems (in this bank),Used car,3384,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,1474,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,1505,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,5152,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,6070,4-7 yrs,3,1,0
Some Balance,Paid Up,Home Related,1533,< 1yr,4,1,0
No Account,Paid Up,Used car,2712,4-7 yrs,2,1,0
Some Balance,Paid Up,Home Related,3568,4-7 yrs,4,1,0
No Account,Paid Up,New car,2028,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,2831,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,1819,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,1750,4-7 yrs,2,1,0
No Account,No Problems (in this bank),Used car,2132,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,3556,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,1943,< 1yr,4,1,0
No Account,Paid Up,Home Related,1372,1-4 yrs,2,1,0
No Account,Paid Up,Used car,1282,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,2051,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,2073,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,2255,< 1yr,4,1,0
No Account,Paid Up,Used car,1657,< 1yr,2,1,0
No Account,No Problems (in this bank),Used car,1478,4-7 yrs,4,1,0
No Account,Paid Up,Used car,2406,1-4 yrs,4,1,0
No Account,Paid Up,Used car,4057,1-4 yrs,3,1,0
No Account,No Problems (in this bank),New car,5800,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,4623,< 1yr,3,1,0
Some Balance,Some Problems,Home Related,1445,1-4 yrs,4,1,0
No Account,No Problems (in this bank),New car,6331,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,3181,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,1559,1-4 yrs,4,1,0
Some Balance,Paid Up,Home Related,10144,1-4 yrs,2,1,0
No Account,Paid Up,Used car,2462,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,3652,1-4 yrs,2,1,0
Some Balance,Paid Up,Home Related,5190,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,6304,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,4463,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,6761,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,609,1-4 yrs,4,1,0
Some Balance,Some Problems,New car,9436,< 1yr,2,1,0
No Account,Paid Up,New car,3857,< 1yr,4,1,0
No Account,Paid Up,Home Related,976,< 1yr,1,1,0
No Account,No Problems (in this bank),Home Related,2366,1-4 yrs,3,1,0
No Account,Paid Up,Used car,1237,< 1yr,3,1,0
No Account,No Problems (in this bank),Home Related,3966,4-7 yrs,1,1,0
Some Balance,No Problems (in this bank),Home Related,6614,4-7 yrs,4,1,0
No Account,Paid Up,Used car,2996,< 1yr,2,1,0
Some Balance,Some Problems,Home Related,426,4-7 yrs,4,1,0
No Account,Paid Up,Used car,3108,< 1yr,2,1,0
No Account,Paid Up,Home Related,3249,1-4 yrs,2,1,0
Some Balance,Paid Up,Home Related,7409,4-7 yrs,3,1,0
Some Balance,Paid Up,Home Related,3914,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1038,1-4 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,2353,< 1yr,1,1,0
Some Balance,Some Problems,Home Related,409,< 1yr,3,1,0
No Account,No Problems (in this bank),Used car,1050,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1056,4-7 yrs,3,1,0
No Account,Paid Up,Home Related,3512,1-4 yrs,2,1,0
No Account,Paid Up,Home Related,1534,< 1yr,1,1,0
No Account,Paid Up,Home Related,1567,< 1yr,1,1,0
No Account,Paid Up,Used car,3441,< 1yr,2,1,0
No Account,No Problems (in this bank),Used car,6361,4-7 yrs,2,1,0
No Account,No Problems (in this bank),Home Related,1288,4-7 yrs,3,1,0
No Account,No Problems (in this bank),Used car,1295,< 1yr,4,1,0
No Account,Paid Up,Used car,3590,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,4771,1-4 yrs,2,1,0
No Account,Paid Up,Home Related,3763,1-4 yrs,2,1,0
No Account,No Problems (in this bank),Home Related,1175,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,1190,< 1yr,2,1,0
No Account,No Problems (in this bank),Used car,1433,< 1yr,4,1,0
No Account,No Problems (in this bank),Used car,8386,1-4 yrs,2,1,0
No Account,Paid Up,New car,8335,4-7 yrs,3,1,0
No Account,Paid Up,Used car,2136,< 1yr,3,1,0
No Account,No Problems (in this bank),Home Related,4933,1-4 yrs,2,1,0
No Account,Paid Up,Home Related,2039,< 1yr,1,1,0
No Account,No Problems (in this bank),New car,9629,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,10875,4-7 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,7629,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,1880,1-4 yrs,4,1,0
Some Balance,Some Problems,New car,7485,< 1yr,4,1,0
No Account,Paid Up,Used car,4153,< 1yr,2,1,0
No Account,No Problems (in this bank),Used car,1872,< 1yr,4,1,0
No Account,Paid Up,Home Related,2329,< 1yr,1,1,0
No Account,Paid Up,Used car,918,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,1569,4-7 yrs,4,1,0
No Account,Paid Up,Used car,2578,< 1yr,3,1,0
No Account,Paid Up,Used car,7882,1-4 yrs,2,1,0
No Account,Paid Up,Used car,951,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,338,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,753,< 1yr,2,1,0
No Account,No Problems (in this bank),Used car,2124,< 1yr,4,1,0
No Account,Paid Up,Used car,1131,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,10366,4-7 yrs,2,1,0
No Account,Paid Up,Home Related,1155,4-7 yrs,3,1,0
No Account,Paid Up,Home Related,1285,1-4 yrs,4,1,0
No Account,Paid Up,Used car,3069,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,6314,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,5003,< 1yr,1,1,0
No Account,No Problems (in this bank),Used car,2333,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,691,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,713,4-7 yrs,4,1,0
No Account,Paid Up,Used car,3345,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,884,4-7 yrs,4,1,0
No Account,Paid Up,Used car,1521,< 1yr,4,1,0
No Account,Paid Up,Used car,3446,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,4370,1-4 yrs,3,1,0
No Account,No Problems (in this bank),Home Related,2728,1-4 yrs,4,1,0
No Account,Paid Up,Home Related,1403,< 1yr,2,1,0
No Account,Paid Up,Home Related,1680,4-7 yrs,3,1,0
Some Balance,Paid Up,Home Related,9055,< 1yr,2,1,0
No Account,Paid Up,Used car,3622,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,10127,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,1136,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,1169,4-7 yrs,4,1,0
Some Balance,Some Problems,Home Related,609,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1199,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,2629,< 1yr,2,1,0
No Account,Paid Up,Used car,1845,< 1yr,4,1,0
No Account,Paid Up,Used car,1922,< 1yr,4,1,0
No Account,Paid Up,Home Related,6999,1-4 yrs,1,1,0
No Account,Paid Up,Home Related,1721,< 1yr,2,1,0
No Account,Some Problems,New car,4605,4-7 yrs,3,1,0
No Account,No Problems (in this bank),Home Related,2799,< 1yr,2,1,0
No Account,Paid Up,Home Related,368,4-7 yrs,4,1,0
Some Balance,Some Problems,Home Related,4165,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,1537,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,1987,< 1yr,2,1,0
No Account,Paid Up,Home Related,3651,< 1yr,1,1,0
No Account,Paid Up,New car,6579,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1602,4-7 yrs,4,1,0
No Account,Paid Up,New car,11560,< 1yr,1,1,0
No Account,Paid Up,New car,10297,1-4 yrs,4,1,0
No Account,Paid Up,Home Related,2101,< 1yr,2,1,0
No Account,Paid Up,Home Related,3758,< 1yr,1,1,0
No Account,Paid Up,Home Related,2118,< 1yr,2,1,0
No Account,Paid Up,Home Related,709,4-7 yrs,4,1,0
Some Balance,Some Problems,Home Related,1204,< 1yr,4,1,0
No Account,Paid Up,Home Related,802,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,590,< 1yr,3,1,0
No Account,Paid Up,Used car,2473,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,6458,4-7 yrs,2,1,0
Some Balance,Paid Up,Home Related,10222,1-4 yrs,4,1,0
No Account,Paid Up,Home Related,662,< 1yr,3,1,0
No Account,Paid Up,Home Related,3973,< 1yr,1,1,0
No Account,Paid Up,Home Related,915,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,3414,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,5302,4-7 yrs,2,1,0
No Account,No Problems (in this bank),Home Related,1797,< 1yr,3,1,0
No Account,Paid Up,Home Related,6078,1-4 yrs,2,1,0
No Account,Paid Up,Used car,2659,< 1yr,4,1,0
No Account,No Problems (in this bank),Used car,5371,< 1yr,3,1,0
No Account,Paid Up,Home Related,1082,4-7 yrs,4,1,0
No Account,Paid Up,Used car,7721,< 1yr,1,1,0
No Account,Paid Up,Home Related,1206,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,2647,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,2337,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,2122,< 1yr,3,1,0
No Account,No Problems (in this bank),Home Related,2427,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,2442,4-7 yrs,4,1,0
No Account,No Problems (in this bank),Home Related,3905,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,2503,4-7 yrs,4,1,0
No Account,Paid Up,Used car,3149,< 1yr,4,1,0
No Account,Paid Up,Home Related,1295,< 1yr,3,1,0
No Account,Paid Up,Used car,3234,< 1yr,4,1,0
No Account,Paid Up,Home Related,1366,< 1yr,3,1,0
No Account,Paid Up,Home Related,1603,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,1422,< 1yr,3,1,0
No Account,No Problems (in this bank),Home Related,882,< 1yr,4,1,0
No Account,Paid Up,Home Related,3509,1-4 yrs,4,1,0
Some Balance,Paid Up,Used car,10974,< 1yr,4,1,0
No Account,Paid Up,Home Related,1755,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,3190,< 1yr,2,1,0
No Account,Paid Up,Home Related,8487,1-4 yrs,1,1,0
No Account,Some Problems,Used car,3114,< 1yr,1,1,0
No Account,Paid Up,Home Related,5084,4-7 yrs,2,1,0
No Account,No Problems (in this bank),Home Related,1024,< 1yr,4,1,0
No Account,Some Problems,New car,6148,4-7 yrs,3,1,0
No Account,Some Problems,Used car,3244,< 1yr,1,1,0
No Account,Paid Up,Home Related,1977,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,15653,1-4 yrs,2,1,0
No Account,Paid Up,Home Related,1835,< 1yr,3,1,0
No Account,No Problems (in this bank),Home Related,1209,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1216,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1245,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,9857,1-4 yrs,1,1,0
No Account,Paid Up,Home Related,1913,< 1yr,3,1,0
No Account,No Problems (in this bank),Home Related,4843,4-7 yrs,3,1,0
No Account,No Problems (in this bank),Home Related,1333,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1344,< 1yr,4,1,0
No Account,Paid Up,Home Related,3979,1-4 yrs,4,1,0
No Account,Paid Up,Home Related,3660,< 1yr,2,1,0
No Account,Paid Up,Home Related,2303,4-7 yrs,4,1,0
No Account,Paid Up,Used car,3959,< 1yr,4,1,0
No Account,Paid Up,Home Related,448,< 1yr,4,1,0
No Account,Paid Up,Home Related,458,< 1yr,4,1,0
Some Balance,No Problems (in this bank),Home Related,12749,1-4 yrs,4,1,0
No Account,Paid Up,Home Related,3872,< 1yr,2,1,0
No Account,No Problems (in this bank),Home Related,1659,< 1yr,4,1,0
No Account,Paid Up,Used car,4169,< 1yr,4,1,0
No Account,Paid Up,Home Related,654,< 1yr,4,1,0
No Account,Paid Up,Home Related,684,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,6289,< 1yr,2,1,0
No Account,Paid Up,Home Related,727,< 1yr,4,1,0
No Account,Paid Up,Home Related,741,< 1yr,4,1,0
No Account,Paid Up,Home Related,750,< 1yr,4,1,0
No Account,Paid Up,Home Related,2415,< 1yr,3,1,0
No Account,Paid Up,Home Related,790,< 1yr,4,1,0
No Account,Paid Up,Home Related,795,< 1yr,4,1,0
No Account,Paid Up,Home Related,806,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,3499,< 1yr,3,1,0
No Account,Paid Up,Home Related,836,< 1yr,4,1,0
No Account,No Problems (in this bank),Home Related,1887,< 1yr,4,1,0
No Account,Paid Up,Home Related,2767,4-7 yrs,4,1,0
No Account,Paid Up,Used car,6350,4-7 yrs,4,1,0
No Account,Paid Up,Home Related,6260,1-4 yrs,3,1,0
No Account,Paid Up,Home Related,2631,< 1yr,3,1,0
No Account,Paid Up,Home Related,1007,< 1yr,4,1,0
No Account,Paid Up,Home Related,1042,< 1yr,4,1,0
No Account,Paid Up,Home Related,1053,< 1yr,4,1,0
No Account,Paid Up,Home Related,2718,< 1yr,3,1,0
No Account,Paid Up,Home Related,1092,< 1yr,4,1,0
No Account,Paid Up,Home Related,1113,< 1yr,4,1,0
Some Balance,Some Problems,Home Related,3447,< 1yr,4,1,0
No Account,Paid Up,Home Related,1168,< 1yr,4,0,1
No Account,Paid Up,Home Related,1207,< 1yr,4,0,1
No Account,Paid Up,Home Related,1239,< 1yr,4,0,1
